from,to,time,time period,edge,directly
TC,1,1955,,,
GM,1,,,,
DB,1,,,,
ERR,1,,,,
HG,1,,,,
RG,1,,,,
HEG,1,,,,
CG,1,,,,
STB,1,,,,
EGM,1,,,,
TC,GM,1940,,,
GM,DB,1941,,6,
DB,ERR,1941,,6,
ERR,HG,1956,,,
HG,RG,1953,,,
RG,HEG,1968,,,
HEG,CG,2014,,4,
CG,STB,2019,,4,
STB,EGM,2019,,,
JLF,2,1880,,,
AID,2,,,,
JJT,2,,,,
HR,2,,,,
HG,2,,,,
HEG,2,,,,
CG,2,,,,
STB,2,,,,
EAID,2,,,,
JLF,AID,1941,,1,
AID,JJT,1942,,1,
JJT,HR,1942,,1,
HR,HG,1956,,,
HG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2020,,4,
STB,EAID,2020,,7,
JLF,3,1881,,,
AID,3,,,,
JJT,3,,,,
LD,3,,,,
HG,3,,,,
RG,3,,,,
HEG,3,,,,
CG,3,,,,
STB,3,,,,
EAID,3,,,,
JLF,AID,1941,,1,
AID,JJT,1942,,1,
JJT,LD,1942,,1,
LD,HG,1956,,,
HG,RG,1953,,,
RG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2020,,4,
STB,EAID,2020,,7,
ML,4,1901,,,
DF,4,,,,
AHP,4,,,,
SMBK,4,,,,
HG,4,,,,
OMGG,4,,,,
HG,4,,,,
HEG,4,,,,
CG,4,,,,
STB,4,,,,
EDF,4,,,,
ML,DF,1939,,,
DF,AHP,1942,,,
AHP,SMBK,1942,,1,
SMBK,HG,1945,,1,
HG,OMGG,1950,,6,
OMGG,HG,1956,,,
HG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2015,,4,
STB,EDF,2015,,7,
HM,5,1921,,,
GGB,5,,,,
PR,5,,,,
DKF,5,,,,
ERR,5,,,,
GR,5,,,,
HG,5,,,,
RG,5,,,,
HG,5,,,,
HEG,5,,,,
CG,5,,,,
STB,5,,,,
EPR,5,,,,
HM,GGB,1923,,,
GGB,PR,1941,,1,
PR,DKF,1942,,6,
DKF,ERR,1942,,2,
ERR,GR,1942,,8,
GR,HG,1942,,,
HG,RG,1953,,1,
RG,HG,1956,,,
HG,HEG,1968,,4,
HEG,CG,2014,,4,
CG,STB,2015,,4,
STB,EPR,2015,,7,
AM,6,1874,,,
AMW,6,,,,
EHC,6,,,,
HG,6,,,,
HEG,6,,,,
CG,6,,,,
STB,6,,,,
EEHC,6,,,,
AM,AMW,1913,,,
AMW,EHC,1938,,4,
