from,to,time,time_period,edge,directly
TC,1,1855,1,15,2
GM,1,1940,4,12,
DB,1,1941,4,12,
ERR,1,,,12,
HG,1,1956,6,12,
RG,1,1953,5,12,
HEG,1,1968,6,12,
CG,1,2014,8,12,
STB,1,2019,8,12,
EGM,1,2019,8,12,
TC,GM,1940,4,,
GM,DB,1941,4,6,1
DB,ERR,,,6,1
ERR,HG,1956,6,,
HG,RG,1953,5,,
RG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2019,8,4,1
STB,EGM,2019,8,7,1
JLF,2,1880,1,15,2
AID,2,1941,4,12,
JJT,2,1942,4,12,
HR,2,,,12,
HG,2,1956,6,12,
HEG,2,1968,6,12,
CG,2,2014,8,12,
STB,2,2020,8,12,
EAID,2,2020,8,12,
JLF,AID,1941,4,,2
AID,JJT,1942,4,1,2
JJT,HR,,,1,
HR,HG,1956,6,,
HG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2020,8,4,1
STB,EAID,2020,8,7,1
JLF,3,1881,1,15,2
AID,3,1941,4,12,
JJT,3,1942,4,12,
LD,3,,,12,
HG,3,1956,6,12,
RG,3,1953,5,12,
HEG,3,1968,6,12,
CG,3,2014,8,12,
STB,3,2020,8,12,
EAID,3,2020,8,12,
JLF,AID,1941,4,,
AID,JJT,1942,4,1,2
JJT,LD,,,1,1
LD,HG,1956,6,,
HG,RG,1953,5,,
RG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2020,8,4,1
STB,EAID,2020,8,7,
ML,4,1901,1,15,2
DF,4,1939,4,12,
AHP,4,1942,4,12,
SMBK,4,1942,4,12,
HG,4,1945,4,12,
OMGG,4,1950,5,12,
HG,4,1956,6,12,
HEG,4,1968,6,12,
CG,4,2014,8,12,
STB,4,2015,8,12,
EDF,4,2015,8,12,
ML,DF,1939,4,,2
DF,AHP,1942,4,,2
AHP,SMBK,1942,4,1,1
SMBK,HG,1945,4,1,1
HG,OMGG,1950,5,9,1
OMGG,HG,1956,6,,1
HG,HEG,1968,6,4,1
HEG,CG,2014,8,4,1
CG,STB,2015,8,4,1
STB,EDF,2015,8,7,1
HM,5,1923,2,15,2
GGB,5,1923,2,12,
PR,5,1941,4,12,
DKF,5,1942,4,12,
ERR,5,1942,4,12,
GR,5,,,12,
HG,5,1942,4,12,
